,Date,Country,Status,AQI Value
625,2022-07-22,India,Unhealthy,153
626,2022-07-22,Indonesia,Moderate,93
629,2022-07-22,Ireland,Good,20
630,2022-07-22,Israel,Moderate,91
631,2022-07-22,Italy,Unhealthy for Sensitive Groups,115
633,2022-07-22,Japan,Moderate,68
635,2022-07-22,Jordan,Good,21
636,2022-07-22,Kazakhstan,Moderate,86
637,2022-07-22,Kenya,Good,34
639,2022-07-22,Kuwait,Unhealthy,155
640,2022-07-22,Kyrgyzstan,Good,37
641,2022-07-22,Laos,Good,45
642,2022-07-22,Latvia,Good,46
645,2022-07-22,Liechtenstein,Good,45
646,2022-07-22,Lithuania,Moderate,75
648,2022-07-22,Macao,Good,50
649,2022-07-22,Macedonia,Moderate,60
650,2022-07-22,Madagascar,Good,20
651,2022-07-22,Malaysia,Moderate,64
652,2022-07-22,Malta,Moderate,54
653,2022-07-22,Martinique,Good,43
654,2022-07-22,Mexico,Unhealthy for Sensitive Groups,109
655,2022-07-22,Moldova,Good,14
656,2022-07-22,Monaco,Good,41
657,2022-07-22,Mongolia,Good,32
658,2022-07-22,Montenegro,Good,48
659,2022-07-22,Myanmar,Good,13
660,2022-07-22,Nepal,Good,26
661,2022-07-22,Netherlands,Good,31
663,2022-07-22,New Zealand,Good,43
664,2022-07-22,Nigeria,Unhealthy for Sensitive Groups,105
665,2022-07-22,Norway,Good,25
666,2022-07-22,Pakistan,Moderate,91
667,2022-07-22,Palestinian Territory,Moderate,60
668,2022-07-22,Peru,Unhealthy for Sensitive Groups,104
669,2022-07-22,Philippines,Moderate,83
670,2022-07-22,Poland,Moderate,70
671,2022-07-22,Portugal,Good,32
674,2022-07-22,Reunion,Good,22
675,2022-07-22,Romania,Moderate,70
676,2022-07-22,Russia,Moderate,98
677,2022-07-22,San Marino,Moderate,57
679,2022-07-22,Serbia,Moderate,64
680,2022-07-22,Singapore,Moderate,53
681,2022-07-22,Slovakia,Moderate,66
682,2022-07-22,Slovenia,Moderate,84
683,2022-07-22,South Africa,Moderate,83
684,2022-07-22,South Korea,Unhealthy for Sensitive Groups,120
685,2022-07-22,Spain,Moderate,72
686,2022-07-22,Sri Lanka,Good,28
688,2022-07-22,Sweden,Good,28
689,2022-07-22,Switzerland,Good,48
690,2022-07-22,Taiwan,Moderate,65
691,2022-07-22,Tajikistan,Moderate,78
692,2022-07-22,Thailand,Moderate,98
694,2022-07-22,Trinidad and Tobago,Good,47
695,2022-07-22,Turkey,Moderate,79
697,2022-07-22,Uganda,Unhealthy,165
698,2022-07-22,Ukraine,Moderate,51
699,2022-07-22,United Arab Emirates,Moderate,87
700,2022-07-22,United Kingdom of Great Britain and Northern Ireland,Good,43
701,2022-07-22,United States of America,Moderate,91
703,2022-07-22,Vatican,Moderate,68
